Ursprung,Ziel,Typ
jemandem unter die Arme greifen,Christa Ruland,Ungerichtet
etwas in der Hand haben,Christa Ruland,Ungerichtet
hinter jemandes Rücken,Christa Ruland,Ungerichtet
etwas aufs Tapet bringen,Christa Ruland,Ungerichtet
jemanden ins Gespräch ziehen,Christa Ruland,Ungerichtet
bei seinem Steckenpferd sein und es resolut besteigen,Christa Ruhland,Ungerichtet
"in den Händen von jemandem sein, jemandem in die Hände fallen / geraten",Arbeit,Ungerichtet
tief drunten sein,Arbeit,Ungerichtet
die Hoffnung fahren lassen,Arbeit,Ungerichtet
jemanden in Fetzen reißen,Arbeit,Ungerichtet
vor den Kopf geschlagen sein,Arbeit,Ungerichtet
in der Hölle sein,Arbeit,Ungerichtet
in den See,Arbeit,Ungerichtet
seinen Weg gehen,Arbeit,Ungerichtet
zermalmt unter der Wucht eines furchtbaren Schicksals,Arbeit,Ungerichtet
zerschlagen sein,Arbeit,Ungerichtet
weit bringen,Andreas Vöst,Ungerichtet
in den Schoß der heiligen Kirche gelangen,Andreas Vöst,Ungerichtet
in den Vorhof der Seligkeiten gelangen lassen,Andreas Vöst,Ungerichtet
"in den Banden des Schlafes liegen, die unreißbar erscheinen",Die Intellektuellen,Ungerichtet
eine Debatte in ein anderes Fahrwasser lenken,Die Intellektuellen,Ungerichtet
etwas am Hals haben,Die Intellektuellen,Ungerichtet
etwas mit vollen Händen nehmen,Die Intellektuellen,Ungerichtet
an jemandem hängen,Die Intellektuellen,Ungerichtet
aus der Haut fahren,Die Intellektuellen,Ungerichtet
aus der Rolle der Zuhörerin heraustreten,Die Intellektuellen,Ungerichtet
auf die Höhe bringen,Die Intellektuellen,Ungerichtet
sich etwas / jemanden aus dem Kopf schlagen,Die Intellektuellen,Ungerichtet
etwas auf die Spur kommen,Die Intellektuellen,Ungerichtet
in etwas vergraben sein,Die Intellektuellen,Ungerichtet
unter den Fingern zerinnen,Die Intellektuellen,Ungerichtet
in die Hände von jemandem legen,Herrn Dames Aufzeichnungen,Ungerichtet
das Herz geht jemandem auf,Herrn Dames Aufzeichnungen,Ungerichtet
Hörner ablaufen,Herrn Dames Aufzeichnungen,Ungerichtet
etwas über jemanden verhängen,Herrn Dames Aufzeichnungen,Ungerichtet
harmonisch mit etwas verschmelzen,Herrn Dames Aufzeichnungen,Ungerichtet
um jemandes Hand anhalten,Martha's Kinder,Ungerichtet
"Straßen pflegen ist ganz schön, Bahn brechen ist schöner",Martha's Kinder,Ungerichtet
Boden der Tradition,Martha's Kinder,Ungerichtet
weit von etwas entfernt sein,Martha's Kinder,Ungerichtet
aus entlegenster Vergangenheit in entlegenste Zukunft,Martha's Kinder,Ungerichtet
Forschungsfelder eröffnen,Martha's Kinder,Ungerichtet
gebrochen sein,Martha's Kinder,Ungerichtet
